"id";"fecha";"tipo_elem";"intensidad";"ocupacion";"carga";"vmed";"error";"periodo_integracion"
3395;"2020-06-01 00:00:00";"URB";"44";"1";"3";"0";"N";15
3395;"2020-06-01 00:15:00";"URB";"52";"1";"4";"0";"N";15
3395;"2020-06-01 00:30:00";"URB";"67";"1";"5";"0";"N";15
3395;"2020-06-01 00:45:00";"URB";"63";"1";"6";"0";"N";15
3395;"2020-06-01 01:00:00";"URB";"14";"0";"1";"0";"N";13
3395;"2020-06-01 01:15:00";"URB";"36";"1";"4";"0";"N";15
3395;"2020-06-01 01:30:00";"URB";"20";"1";"2";"0";"N";12
3395;"2020-06-01 01:45:00";"URB";"36";"1";"4";"0";"N";10
3395;"2020-06-01 02:00:00";"URB";"0";"0";"0";"0";"N";1
3395;"2020-06-01 02:30:00";"URB";"18";"1";"2";"0";"N";10
3395;"2020-06-01 02:45:00";"URB";"32";"0";"3";"0";"N";15
3395;"2020-06-01 03:00:00";"URB";"7";"0";"1";"0";"N";15
3395;"2020-06-01 03:15:00";"URB";"15";"1";"3";"0";"N";12
3395;"2020-06-01 03:30:00";"URB";"30";"1";"2";"0";"N";6
3395;"2020-06-01 03:45:00";"URB";"10";"0";"1";"0";"N";6
3395;"2020-06-01 04:00:00";"URB";"24";"1";"2";"0";"N";5
3395;"2020-06-01 04:15:00";"URB";"20";"0";"1";"0";"N";9
3395;"2020-06-01 04:30:00";"URB";"12";"0";"1";"0";"N";10
3395;"2020-06-01 04:45:00";"URB";"13";"1";"2";"0";"N";9
3395;"2020-06-01 05:30:00";"URB";"16";"1";"2";"0";"N";11
3395;"2020-06-01 06:15:00";"URB";"60";"1";"4";"0";"N";3
3395;"2020-06-01 06:30:00";"URB";"44";"0";"3";"0";"N";15
3395;"2020-06-01 06:45:00";"URB";"44";"1";"4";"0";"N";15
3395;"2020-06-01 07:00:00";"URB";"73";"1";"4";"0";"N";14
3395;"2020-06-01 07:15:00";"URB";"127";"1";"9";"0";"N";15
3395;"2020-06-01 07:30:00";"URB";"184";"2";"12";"0";"N";15
3395;"2020-06-01 07:45:00";"URB";"192";"2";"12";"0";"N";15
3395;"2020-06-01 08:00:00";"URB";"204";"3";"13";"0";"N";15
3395;"2020-06-01 08:15:00";"URB";"244";"2";"16";"0";"N";15
3395;"2020-06-01 08:30:00";"URB";"370";"4";"24";"0";"N";12
3395;"2020-06-01 08:45:00";"URB";"300";"3";"19";"0";"N";13
3395;"2020-06-01 09:00:00";"URB";"347";"4";"23";"0";"N";14
3395;"2020-06-01 09:15:00";"URB";"287";"2";"19";"0";"N";15
3395;"2020-06-01 09:30:00";"URB";"363";"4";"23";"0";"N";15
3395;"2020-06-01 09:45:00";"URB";"333";"3";"22";"0";"N";15
3395;"2020-06-01 10:00:00";"URB";"320";"4";"21";"0";"N";15
3395;"2020-06-01 10:15:00";"URB";"256";"3";"17";"0";"N";15
3395;"2020-06-01 10:30:00";"URB";"348";"4";"22";"0";"N";15
3395;"2020-06-01 10:45:00";"URB";"425";"4";"27";"0";"N";15
3395;"2020-06-01 11:00:00";"URB";"349";"4";"22";"0";"N";15
3395;"2020-06-01 11:15:00";"URB";"427";"3";"27";"0";"N";15
3395;"2020-06-01 11:30:00";"URB";"347";"4";"23";"0";"N";14
3395;"2020-06-01 11:45:00";"URB";"392";"3";"25";"0";"N";15
3395;"2020-06-01 12:00:00";"URB";"272";"3";"18";"0";"N";15
3395;"2020-06-01 12:15:00";"URB";"376";"4";"23";"0";"N";15
3395;"2020-06-01 12:30:00";"URB";"388";"5";"26";"0";"N";15
3395;"2020-06-01 12:45:00";"URB";"373";"4";"24";"0";"N";15
3395;"2020-06-01 13:00:00";"URB";"315";"3";"20";"0";"N";15
3395;"2020-06-01 13:15:00";"URB";"372";"3";"22";"0";"N";15
3395;"2020-06-01 13:30:00";"URB";"392";"5";"25";"0";"N";15
3395;"2020-06-01 13:45:00";"URB";"420";"4";"25";"0";"N";15
3395;"2020-06-01 14:00:00";"URB";"312";"2";"20";"0";"N";15
3395;"2020-06-01 14:15:00";"URB";"331";"3";"21";"0";"N";15
3395;"2020-06-01 14:30:00";"URB";"348";"4";"22";"0";"N";15
3395;"2020-06-01 14:45:00";"URB";"320";"3";"20";"0";"N";15
3395;"2020-06-01 15:00:00";"URB";"212";"2";"14";"0";"N";15
3395;"2020-06-01 15:15:00";"URB";"267";"3";"17";"0";"N";15
3395;"2020-06-01 15:30:00";"URB";"232";"1";"16";"0";"N";15
3395;"2020-06-01 15:45:00";"URB";"225";"3";"14";"0";"N";15
3395;"2020-06-01 16:00:00";"URB";"168";"1";"10";"0";"N";15
3395;"2020-06-01 16:15:00";"URB";"165";"2";"10";"0";"N";15
3395;"2020-06-01 16:30:00";"URB";"288";"3";"17";"0";"N";15
3395;"2020-06-01 16:45:00";"URB";"256";"3";"16";"0";"N";15
3395;"2020-06-01 17:00:00";"URB";"235";"2";"16";"0";"N";15
3395;"2020-06-01 17:15:00";"URB";"264";"3";"16";"0";"N";15
